source,target,weight
BOEMUS1,BOEDIM1,1265
AURMD,BOEMUS1,106
JACSM6A,JOHDEM,58
ABGURAM,BEREPI,246
JOHPAL,SZAMUS,89
ANO12TCF,ANOAPC,131
MURMSPE,MURMUS,2225
ANOLEIP,GAFPM2,64
ISIDEM,CICNM1,56
MURMSPEW,MURMUS,133
BONBRE,MARLUC11,787
ARIDEM,GUIMIC,181
BERNDIV,BERNDIVM,60
TINEXP,ROSLIB1,84
WILMUSI,WILMU,263
GAFEXT,MARLU9,69
MUSENCH,MUSENCI,2195
FRUBRE,BOEMUS1,60
BOEDIM4,IERTRA2,1702
GUIPROL,GUIMOD,626
ANOBRIG,ANOBRI,1461
ROSLIB1,NICCOM,327
ALIMUS,ANODUL,205
BOEDIM2,GAFTM3,62
CARTRA,ANOSUM,66
MURARSD,GAFEXT,224
MURMSPE,MURMSP,2280
JACSP5B,IERTRA2,96
ANOPRA,ANOCMM,61
MURISW3,MURMSPEW,160
HERMUSE,HERMUSP,207
ANOMUSD,MAUMUS,76
ANOOXO,ISIDEMU,57
ZAMLAM,ZAMLIB,3295
ISISEN,ODORH,182
IERTDM1,BONBRE,97
ANO2TRA,ANOCOMM,68
AARIH3,AARIH1,75
ANOQUA,ANOARSM,75
MURLIB,BERMAN,85
GALRC2,GALRITS2,3174
CICPROP,CICNM3,88
BONBRE,MARLU2,1015
ALIAMU,ALIMU,3648
RUDQUA,MUSENCH,56
FARSCIE,IERTRA1,160
BOEDIM3,IERTRA1,1975
CICNM1,MUSENCH,79
MARLU16,MARLUC16,63
ANOTRDMW,IERTRA1,67
WOLENC6,GAFPM3,309
BERNDEM,ANO1MU,1153
JACSM6A,JACSP6B,152
GARDEM,GARDEMP,223
JACSP5B,BOEMUS5,247
MURARSPB,LUCARSC,339
FRUBRE,WFANON1,79
ANOCYM,RUDQUA,138
IERTDM1,JACSP4,76
ANOCAN,BERNMUS,89
MAUMUS,ISIDEMU,368
MUSENC,CICNM1,87
ANOTRUT,GARINT,69
PSDTRA,ANO6DEM,347
ANOFRA5,ANOLAF,787
MURARSPB,MURLIB,584
